TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YEAR
Southern_Miss,CUSA,0.6206896551724138,106.7,99.6,.6898,47.5,49.9,19.4,19.2,36.1,28.1,48.6,43.2,47.3,49.2,32.1,34.3,65.4,-4.7,2008
Cal_St__Fullerton,BW,0.71875,109.1,101.8,.6879,54.2,52.7,18.3,23.6,32.6,30.2,32.3,32.9,52.3,51.2,38.4,37,74.1,-3.2,2008
North_Carolina_St_,ACC,0.4838709677419355,106.6,99.6,.6867,51.1,47.3,22.5,16,30.3,35.4,47.4,26.6,50.8,44.6,34.6,36.3,64.7,-3,2008
Ohio,MAC,0.6060606060606061,106.5,99.7,.6816,51.9,51.5,21.6,22,35,30.8,39.6,34.4,51.4,50.1,35.2,35.5,65.3,-4,2008
UTEP,CUSA,0.5757575757575758,104.2,97.6,.6797,48.8,49.4,17.9,23.3,30.7,30.5,45.7,49,48.5,47.3,33,35.4,73.2,-3.6,2008
DePaul,BE,0.36666666666666664,111.0,104.2,.6756,49.6,53.5,17.5,19.6,33.6,36.4,30.8,28.3,47.4,49.5,35.8,40.8,67.9,-6.5,2008
Cincinnati,BE,0.40625,102.9,96.7,.6731,47.1,49.2,21.2,18.1,35.3,29.1,32.8,46.1,45.9,48.5,32.8,33.7,65.5,-5,2008
Cleveland_St_,Horz,0.65625,100.5,94.5,.6707,47.6,47.7,21.2,21.7,34.2,30.7,39.1,43.3,48.3,47.5,30.4,32.1,66.9,-3.6,2008
South_Florida,BE,0.3870967741935484,105.6,99.3,.6689,48.8,48.7,20.2,18.4,35.9,33.8,43,33.9,48.5,46.8,33,35.2,65.6,-7.9,2008
Nevada,WAC,0.65625,106.9,100.7,.6648,53,47.5,20,17.4,32.7,32.4,36.9,32.1,52.4,44.9,36.3,36,68.9,-3.8,2008
UNC_Greensboro,SC,0.6129032258064516,106.4,100.4,.6629,52.6,50.1,21.4,22.3,35.1,35.2,40.1,24.3,51.9,48,35.8,36.1,66.3,-4.5,2008
Seton_Hall,BE,0.53125,108.7,102.6,.6619,48,51.1,16.9,21.4,33.7,38.4,36.7,39.3,46.6,48.8,33.8,37,71.2,-3.7,2008
Winthrop,BSth,0.6875,96.3,90.9,.6608,49.6,46.6,19.8,23.3,33.2,29.2,35.6,33.6,46.7,46.7,37.2,31,63.5,-4.2,2008
San_Diego,WCC,0.6285714285714286,100.0,94.4,.6602,49.4,49,21.4,22.7,32.1,30.5,35.7,33.7,48.8,48.3,33.9,33.7,65.3,-3.9,2008
Stephen_F__Austin,Slnd,0.9285714285714286,104.9,99.0,.6600,51.1,45.1,19.1,21.7,32.7,31.1,40.6,34.3,48.1,44.1,38,31.8,59.9,-1.4,2008
Iowa_St_,B12,0.45161290322580644,99.8,94.3,.6590,46.8,47.2,20.2,18.1,28.2,31.6,33.5,27.8,47,44.3,31.1,36,65.8,-5.2,2008
Colorado,B12,0.3870967741935484,103.5,97.7,.6590,50.7,49.8,21.3,20.3,26.6,33.5,35,33.6,50.5,48.1,34,35.5,62.7,-7,2008
Illinois_Chicago,Horz,0.5625,103.1,97.5,.6550,50.3,48.2,19.9,20,31.3,30.8,32.6,26.7,46.5,46,38.5,34.6,67.5,-6.5,2008
Wright_St_,Horz,0.6774193548387096,102.2,96.7,.6529,51.9,48.2,20.5,20,30,30.5,35.2,29.6,48.4,45.2,38.8,35.1,61.2,-3,2008
Old_Dominion,CAA,0.5294117647058824,105.5,100.0,.6488,48.3,47.8,20.1,21.6,38.1,34.3,27.2,30.3,47.3,45.6,33.5,34.6,64.5,-6.5,2008
Northern_Iowa,MVC,0.5806451612903226,104.5,99.7,.6323,50,47,19.8,16.8,25.3,28.2,43.6,30.3,49.6,42.4,33.9,36.4,61,-4.8,2008
Portland_St_,BSky,0.7419354838709677,106.7,101.9,.6311,54.4,50.6,20.8,21.4,34.1,31.7,37.8,34.9,50.8,49.7,39.7,34.8,68.1,-3.4,2008
Utah_St_,WAC,0.7058823529411765,112.3,107.2,.6293,57.4,50,21.4,17.6,34.1,32.1,36.9,28.9,56.3,47.5,40.1,36.6,64.8,-4.6,2008
Michigan,B10,0.3125,102.1,97.6,.6258,45.8,51.5,19.9,21,33.7,35,28.4,27.5,45.2,48.4,31.2,38,66.3,-8.2,2008
Penn_St_,B10,0.4838709677419355,106.5,101.8,.6248,48.3,51.9,19.7,20.7,36.3,32.6,32.1,29.1,46.7,50.8,34,35.7,65.4,-4.2,2008
Valparaiso,Horz,0.6176470588235294,105.9,101.5,.6182,52.9,49.6,19.7,18.6,27.3,29.7,34.6,38.1,49.8,48,38,35,67.4,-4.7,2008
Auburn,SEC,0.4666666666666667,108.6,104.7,.6030,52.5,55.8,20,22.2,31.9,32.5,31.5,28.1,53.5,55.4,34,37.5,67.2,-6.2,2008
North_Texas,SB,0.7142857142857143,104.5,100.8,.6019,51.9,48.9,21.7,19.8,35.3,29.7,40.6,39,48.8,47.6,39.5,34.2,69.9,-6.1,2008
